meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
251,11,13.730944448754403,43.81505524263088,6,0,17.575038829350618,Beginner,dairy,29.201816950062387
430,16,12.102455611699616,48.89517531677806,1,0,8.646737470927555,Beginner,meat,34.957215203516746
205,10,23.720966418001467,61.182255773669056,4,0,17.58363433219428,Intermediate,meat,22.876659936800657
352,12,21.858402747655347,54.16586390773512,3,0,42.34195691227782,Intermediate,vegetables,52.869761758372256
121,15,16.9110422645849,69.89967097426643,4,0,16.290064244034713,Intermediate,meat,21.77211585097144
259,13,21.292420480792067,53.13681077193888,2,0,49.153170145722896,Intermediate,grains,53.34518577593335
479,13,25.48744378518969,62.90292217173924,2,0,19.020728281200302,Intermediate,grains,47.8477570518841
483,11,28.655181437045965,40.56572827983568,4,0,35.33078906977853,EXPERT,dairy,56.61000756531634
177,9,19.97090074259324,43.603642939797794,6,0,28.20544479846829,Intermediate,vegetables,36.36790404747051
189,9,19.67696900839077,73.53763201646495,6,0,38.72205575258702,Intermediate,meat,41.62210376932863
294,9,10.366676426156594,56.4734228193196,2,0,23.55813772105397,Beginner,meat,28.10933876263433
195,18,19.32121592972336,79.00339215351268,5,0,38.40320921766183,Intermediate,dairy,47.46565108478094
357,13,10.4812200812646,81.98319085508052,3,0,26.44075720577298,Intermediate,vegetables,45.21106349139713
295,11,19.46191058714673,37.79579547214208,0,0,26.854108940042472,EXPERT,meat,38.94264923547769
312,13,32.79590087399778,43.213518082638906,2,0,19.309214810315076,Intermediate,meat,27.260593228954438
385,14,20.449748346762107,57.00699158848866,2,0,10.584831547119984,Intermediate,meat,28.111738434982996
376,13,23.73535596076133,44.42294332196903,5,0,10.786841868224862,Intermediate,grains,25.890271488423732
485,10,24.48537248358752,65.41713257718959,6,0,13.737329107073702,EXPERT,meat,42.17290474419898
454,18,31.731490616276314,64.99544954736693,5,0,46.027664461074906,Intermediate,meat,64.69057095687299
250,8,13.588559050984822,88.24452922063489,2,0,34.13560733354957,Intermediate,vegetables,43.9522039028567
418,17,31.42184840187735,51.35826194930366,5,0,16.93438416485731,Intermediate,meat,37.23267617728585
212,12,11.728319654665489,81.11047421243686,1,0,22.329617127036336,EXPERT,meat,32.89399424923122
445,19,18.001495813024587,55.88283892644448,1,0,41.91458396662404,Beginner,meat,55.890327947261575
200,19,11.029587381981791,32.96981120962,1,0,44.54461624068115,Intermediate,meat,48.46045497764021
473,11,25.04638459155021,42.96308190070123,3,0,5.55534707271683,Intermediate,meat,39.05450728470574
440,7,24.326035723271232,71.28266663016083,2,0,33.33327552223667,Intermediate,dairy,50.20667218119864
384,17,15.72236512116534,86.24270628985924,6,0,17.662684197747335,EXPERT,dairy,42.926377891912566
425,8,12.213889605581034,54.84901345969361,6,0,49.4842994170568,Beginner,vegetables,50.2620951292006
368,7,14.261948454347936,36.96136088089016,3,0,7.419754024789252,Intermediate,meat,11.181281617099684
444,5,29.274607313303388,83.93084329081483,0,0,16.55345733393911,Intermediate,meat,37.41623060587887
374,19,15.526584286343212,75.10633038234559,2,0,25.262711772418665,Intermediate,dairy,50.80993790088797
363,14,24.820299791335568,58.01807999781664,1,0,40.45865601159192,Intermediate,vegetables,47.25970471935827
341,8,30.648019144997416,67.28066983521177,3,0,7.164153968541594,Intermediate,meat,35.82086139163689
291,8,14.487433085595836,75.78931747553335,0,1,31.653561697794306,Intermediate,grains,53.90655832518387
202,10,28.73278064679564,31.866935995041462,5,0,22.545488583098628,Intermediate,meat,35.97056329649056
491,9,32.69546632461601,88.24597238848698,6,0,13.123320277659062,Beginner,meat,38.18090522519154
235,5,28.047190698173377,70.58558174030354,2,0,23.67321962358562,Intermediate,dairy,37.03081829399744
448,7,19.776069076454363,53.68406123068969,0,1,47.02396742808119,Beginner,dairy,61.496622847680506
107,12,28.12963870068477,65.82574621120318,5,0,12.406967316480864,Beginner,meat,18.31672505552438
172,10,14.221355166942152,43.750317072849725,2,0,49.69693383933859,Intermediate,meat,39.17646466833136
206,11,15.715629038123089,74.28414740031103,1,0,22.28191872759952,Beginner,meat,32.44114132276269
228,7,13.14353779516622,39.0950575721928,0,0,24.667318482898445,Beginner,grains,27.862980903179064
497,15,32.47252060015589,81.3124191011022,3,0,27.61095423932445,Beginner,meat,56.47127034064352
134,6,5.844802989769095,37.79648233607647,5,0,49.35957123135835,Beginner,meat,36.16348255236464
405,19,18.64801118754236,54.69932762740214,5,0,11.324620759799432,Intermediate,dairy,29.13275037905101
350,15,17.486087762297167,37.50751542850482,3,0,25.8891777028457,Intermediate,vegetables,33.252813566176215
352,12,33.6779718297203,78.44376182039707,5,0,10.38028989884254,Intermediate,grains,42.43779828553889
273,6,24.83846422807868,71.86537656440578,0,0,36.81568824226659,Intermediate,vegetables,37.96778910636508
495,12,31.617154800838502,59.91424797034255,1,0,8.688458058964798,Intermediate,grains,39.02858982092585
454,16,12.553738241438452,62.81157845850757,3,0,5.822378137557781,Beginner,meat,28.61084982841934
197,6,10.550879007437604,84.88386689739022,0,0,45.42598738254494,Beginner,dairy,43.78961720096392
269,16,23.561965892984187,45.40165369860275,4,0,6.084958703390007,Beginner,grains,22.433787375131857
107,9,33.66594885499018,37.02396248545012,5,0,17.660777983422875,Beginner,meat,20.900943296550217
485,18,15.751342075785848,68.10534635458313,0,0,17.230393223605812,Intermediate,dairy,39.3342292288104
445,9,21.99742703980183,37.80286695066832,4,0,10.163911973622596,Beginner,meat,32.13176182051132
355,18,28.38764016218844,88.3451999424062,3,0,6.848067775568244,EXPERT,meat,30.25087654111393
256,10,18.148136598801877,57.86599417353257,0,0,44.26947824792249,Intermediate,meat,53.019181175719616
120,13,16.513423318396924,87.97460464240788,2,0,18.413404273617022,Intermediate,grains,21.20784527390633
307,18,33.52188390845162,42.43854019125348,3,1,25.684006882358183,Intermediate,meat,42.63735985194516
460,10,26.46730365518609,40.818476125366686,4,0,45.68609086601858,Intermediate,dairy,52.143235607984685
383,9,15.514028123058084,35.53708752439543,1,0,25.669914836024425,Intermediate,meat,36.52771738022135
104,19,14.668082394326037,73.5435546218462,0,0,22.229741627788258,EXPERT,grains,31.2218609830682
104,5,13.105499168201485,47.09448129185765,4,0,21.719593009394348,Intermediate,dairy,24.460260168036346
245,17,28.680489693550943,69.90877165430433,3,0,26.811028262133835,Intermediate,grains,35.34613617702079
426,17,20.841383348909723,81.77283017474474,5,0,44.324372998445824,Beginner,meat,60.14733985297889
149,7,34.11301180675521,47.02970682141122,1,0,45.21358640057602,Beginner,vegetables,39.131939135686665
459,19,29.002351960952428,79.47208848522193,2,0,8.358729398574296,Intermediate,grains,41.905911523427854
121,19,29.076915774546176,43.96578882607733,4,0,34.99776881957175,Beginner,dairy,34.040727008441245
472,5,23.996107807720737,70.9001689440972,3,1,48.95574677724138,EXPERT,meat,74.21989443342866
109,13,17.938286196918426,84.36395314118192,4,0,16.503759220791267,Intermediate,vegetables,29.94626323403256
2930,19,17.929892919134964,33.464463112150426,2,1,20.74344728813845,Intermediate,meat,246.35916925603053
286,17,34.70163916631935,50.01640734174259,2,0,41.09172216272909,Intermediate,dairy,35.99731048490554
328,12,25.6106361617932,52.886462484798685,3,0,9.172166486462146,EXPERT,vegetables,21.50917831107774
134,14,20.11996072713,61.84424131721015,0,0,18.846626602542973,Intermediate,meat,33.67513914039034
468,12,16.382663118210797,79.60889842778514,4,0,32.55240945622426,Intermediate,grains,55.87701836695389
250,17,28.8526920079041,70.32336232513521,6,0,33.05836378283695,Intermediate,meat,41.59604746806248
268,7,26.22686646985983,88.17646361088572,6,0,19.175472823254108,Beginner,meat,41.54422259935272
180,11,15.653676289748518,66.32896015286428,6,0,37.76055160082888,Intermediate,meat,39.12607919065812
279,8,21.955850576201804,53.85885477552217,2,0,6.497058702621129,EXPERT,meat,17.85125890637361
400,5,17.92306193362362,84.13418420773428,4,0,26.49839568797912,EXPERT,vegetables,39.90316811028982
456,9,13.479950615438243,31.88530929067637,1,0,46.01816266396329,Intermediate,vegetables,58.50068062904648
490,14,13.345093406987218,80.8316663420149,2,0,15.468648727404872,Intermediate,meat,40.93511002748501
370,14,30.498672935202503,64.63498384611678,0,0,41.551615444565385,Beginner,vegetables,61.37539154422557
279,12,21.060248412016737,41.3423714836519,2,0,19.567887152469066,EXPERT,grains,40.34801251669088
217,9,18.658044214725088,41.16138000033994,3,0,13.754076492581785,Beginner,vegetables,19.25607904544409
435,11,10.008312653012236,40.90435144256778,6,0,41.79305202370188,Intermediate,meat,49.07073747178846
488,18,15.919607732784634,66.3302859969526,2,0,42.64389008424066,EXPERT,vegetables,62.424468036902056
122,10,32.45654068231765,74.17202550364573,2,0,14.96827724508976,Intermediate,vegetables,23.32765332887262
363,12,23.165594931723987,33.56829413203685,1,0,15.916021973322133,Intermediate,dairy,35.18432837748322
214,13,34.09555688705878,67.18407428598536,0,1,46.30283973920989,Beginner,vegetables,60.76397451235442
348,13,30.857584148869183,78.59161124163518,3,0,41.678244530411305,Intermediate,meat,50.07505369805271
203,16,34.83342343396571,81.1534669140932,5,0,37.857805398980446,Intermediate,vegetables,44.89588389231312
323,11,32.092741741518815,60.70088319489071,5,0,45.62437045840289,EXPERT,dairy,56.33180623621088
495,5,21.265491418243947,59.89416002995638,4,0,38.18344749403758,Intermediate,dairy,50.38993640104335
135,13,22.483345874465456,85.83640829079222,4,0,19.43260360069809,Intermediate,meat,25.41370454316269
320,13,16.38533711713049,78.28518731938169,2,0,44.52871383702328,Intermediate,dairy,47.17767974628638
314,18,14.665714445931094,36.38062357534648,0,0,11.210696915902329,Beginner,meat,29.955870306642534
473,8,14.040495282146786,30.121111064894038,3,0,20.177010322440186,Intermediate,dairy,43.03745323751748
252,12,29.12977161389461,51.207644432806944,4,0,18.6273450040434,Beginner,grains,31.51138400026192
108,5,27.01141565898313,56.71476673708729,6,0,25.58493751414497,Intermediate,meat,21.392611155856557
364,18,17.459360774749815,63.55108840975959,4,0,18.30492676722286,Intermediate,vegetables,29.33196914104916
127,7,22.05890953878979,83.4888009374104,6,0,35.40295893192095,Intermediate,dairy,36.07175708613143
479,6,24.523301331569943,42.03906104422568,4,0,12.40792309564272,Intermediate,dairy,38.4445478919622
260,10,29.720174546768607,75.55492398365057,2,0,21.410180430545147,Intermediate,vegetables,29.89984605409981
205,19,28.645925300774103,33.86947627495005,0,0,20.178627641036886,EXPERT,grains,38.083695122693605
443,17,21.03022942812617,42.93179212747991,4,0,19.32368426115563,Intermediate,dairy,39.7642639312095
406,10,19.29583823096812,55.28664249475485,0,0,28.56036107884351,EXPERT,meat,44.61575936451028
198,14,29.88775929241008,89.98282824935484,0,0,48.07386335836556,EXPERT,vegetables,55.700980384120285
376,10,19.51049260581994,59.51586600634374,4,0,26.28623765043593,Intermediate,meat,45.76870445397509
393,14,27.63463985280509,80.50340170468056,0,0,7.113784599416291,Intermediate,meat,43.23185833057781
275,18,26.06439922367974,51.736085225915474,5,0,10.87270518368479,Beginner,meat,27.32213577356579
148,8,14.928853164321934,61.63357085038801,2,0,10.476288802700251,Intermediate,meat,33.34149368820972
448,16,10.09246361181792,56.13032726388956,6,0,29.89003869762672,Intermediate,grains,53.20337458100168
147,18,12.94109970398313,30.948791773977725,6,1,12.639164062677192,Intermediate,grains,38.05111009222554
290,11,17.38195723050775,78.55099026834186,1,0,39.770194465767496,Intermediate,meat,42.26575192171533
391,13,16.460790507295453,88.46233432075545,6,0,39.55864901278242,Intermediate,grains,47.67253679890685
349,16,11.999134858982549,46.03515778761572,5,0,7.840845914358491,EXPERT,grains,35.78733656258153
3160,14,29.52926059467298,38.21994378322028,4,1,24.266982786355392,Intermediate,meat,238.8877555088601
259,6,25.813513330657653,57.99646708183296,4,0,11.433239492033849,Intermediate,grains,20.954838339054188
495,12,15.29388376663696,64.23897743285609,6,0,46.88708337455513,Intermediate,meat,60.22181226454092
472,5,23.54260384741204,70.9001689440972,3,1,48.95574677724138,EXPERT,meat,74.21989443342866
216,16,16.091417901596664,46.13808189572316,3,0,18.02484027356937,Intermediate,grains,38.7566175538503
314,19,18.527250611855514,47.39820713661654,3,0,37.675006670508665,EXPERT,dairy,47.78017238355224
118,12,21.253110810493997,69.5468258681716,1,0,24.739137511072467,Intermediate,dairy,22.847056406590973
191,19,31.70135806330732,43.106590972998426,2,0,31.936779833210185,Beginner,grains,38.55908133960595
467,7,16.326460820019612,70.46093874140814,3,0,13.321413386021495,Beginner,grains,41.04812759604783
111,12,26.084129497794606,73.90348419385278,4,0,18.56583767564603,Intermediate,vegetables,17.1589022243211
466,12,10.030795879160648,31.958740652740115,6,0,26.00276421955777,Intermediate,grains,50.49974022207544
361,6,29.674253372941656,55.8224849814476,3,0,45.20321280895942,Beginner,dairy,53.18131418805862
146,17,24.511875167916862,86.57902900896255,5,0,17.316430595526693,Beginner,vegetables,30.276006387000947
338,5,21.95638236439809,60.88101702728633,6,0,31.64996296991482,Intermediate,meat,35.13677188361807
113,12,15.243823692092034,60.81666279265947,1,0,43.73005198049983,Beginner,grains,30.167843198721684
191,9,34.35411571570039,46.70636449502607,6,1,35.71936722698895,EXPERT,grains,55.45372001762165
234,18,21.11048631878004,63.76270194134035,1,0,38.51315275231445,Intermediate,grains,53.38694800837361
266,12,23.94533063777675,38.89067569379673,5,0,42.16734136003632,Intermediate,meat,49.84778399141293
410,5,34.041643398870335,52.63881968437941,0,0,9.387846160874386,Intermediate,dairy,27.074924688144137
416,13,20.771552288450835,43.24472930716691,3,0,21.274119267847,Beginner,grains,40.84946119758106
116,13,21.97958073609,67.95264659794967,3,0,31.464213692245117,EXPERT,grains,34.63613749773884
211,12,12.727740794143743,65.58087002163586,2,0,23.40883168856943,Intermediate,dairy,21.98692898753428
437,16,31.94727897603319,62.959348764190445,1,0,47.23991659820175,Beginner,meat,64.24751648968683
215,13,14.614628238425825,79.31559815639578,0,1,37.5382236222351,EXPERT,dairy,49.325797035214485
439,18,14.35483341445634,54.25438377865255,5,0,13.85995422990576,Intermediate,grains,31.35051086313817
460,15,28.954625276913436,83.33324544021778,0,0,46.98304814877023,Intermediate,grains,65.15092726040436
162,14,26.424596439112328,37.90160630832232,3,0,37.87216148670348,Beginner,vegetables,39.83027396080455
349,18,30.733310128532093,49.81456676018432,3,0,7.52729044564909,EXPERT,meat,34.596902201315764
194,7,13.080566354304151,34.141772453270974,4,0,8.031959218486659,Intermediate,dairy,10.819047907328834
247,13,13.766902692746935,54.0565057483828,4,0,48.54842711751721,Intermediate,meat,50.448209572698985
291,7,18.45657763330871,77.1161286909609,2,1,26.70233000366946,Beginner,grains,40.29201360142895
416,18,14.848846681694372,73.6049534500918,1,0,43.41445470235004,EXPERT,grains,64.14145442984353
136,14,30.771929783542635,79.8413106312046,3,0,21.74540968587644,Intermediate,meat,24.740885543984437
285,16,32.638119808241846,73.2393087169868,0,0,19.09699144612747,Beginner,meat,42.91870707320186
465,18,33.06557645219474,82.76046121059169,0,0,27.37642489658951,EXPERT,grains,54.10106472550138
212,16,31.66096668819113,38.87904884195009,4,0,5.498534866743936,Intermediate,meat,22.75067208176768
403,12,19.357419178494816,60.44678196718453,0,0,41.47106977469597,Beginner,vegetables,44.24663631666861
1510,11,12.434834813838805,34.656878683886454,3,0,47.85868876984896,Intermediate,grains,234.78556717889995
332,15,32.06148601140249,54.400444199914986,5,0,29.166859163388843,Intermediate,meat,34.68493313822266
362,15,14.059547366558022,58.67270688133455,5,0,35.92830031621329,EXPERT,dairy,48.03801685609985
273,11,33.0074295304852,84.08298579851609,6,0,34.85131403066066,EXPERT,meat,50.764192485014505
200,14,16.77868591250462,64.99599106878273,0,0,6.150640959038061,EXPERT,meat,22.093610708457952
403,12,25.015238563655902,79.00541580717169,2,0,34.35237999045726,Beginner,meat,54.04547988922963
352,11,30.62826669165288,63.60550184660373,6,0,40.60779316235076,EXPERT,dairy,51.04679254827028
230,9,26.759636458860307,79.99902428838075,2,1,30.125854177885117,EXPERT,meat,39.15972278810143
215,16,25.12384806726352,57.68673071323876,2,0,39.601402005702575,EXPERT,vegetables,47.74392062284833
366,13,24.13874912303601,70.26331703159487,0,0,28.911057428871285,Intermediate,vegetables,49.18095765616919
276,16,16.646278416357838,71.3999842385366,2,0,6.696397621168376,EXPERT,meat,25.75948013693901
192,5,14.42217862859636,42.29887257160898,5,0,15.552476495334218,EXPERT,meat,26.549289822112016
335,12,14.159439673306808,33.545633404695195,6,0,30.768928390201307,Intermediate,meat,40.60486015932328
135,12,21.75456481741663,73.10575378912412,2,0,40.3666374294011,Intermediate,dairy,40.60640321489917
353,8,12.262042382176269,84.41656853009003,0,0,24.53234792364305,Intermediate,meat,43.94120836090968
133,16,29.6781650650401,48.7717896513078,1,1,31.27636801675109,EXPERT,meat,45.61661099759103
137,19,32.85591289878675,65.48440556534928,4,0,13.223802469434617,Intermediate,meat,21.1194770153186
289,17,31.616509803510443,54.93853120115434,1,1,44.89261369888561,Intermediate,dairy,51.957958707646426
353,8,17.843192279852403,72.56297802524345,6,0,31.21828907181645,EXPERT,vegetables,39.05359318769423
180,7,31.434002302312464,64.03024679516314,0,0,11.10597430065257,Intermediate,meat,26.918810911007085
175,11,12.642336997656852,87.18120127073395,6,0,42.79989922719545,Intermediate,dairy,41.755480088143145
232,5,31.172968202214,61.00739634768949,0,0,41.591644482559325,Beginner,grains,40.68199037157513
277,19,12.603433948007186,62.54826020775936,5,0,26.932299875241927,Intermediate,dairy,44.94964880301493
200,7,26.303081138260943,57.00740167091593,2,0,6.161422678843178,Intermediate,meat,15.029167728376477
229,10,26.734760036484037,75.71440920794493,2,0,31.514657645653497,Intermediate,dairy,45.30635157983909
453,5,5.844802989769095,57.79036300508051,0,1,48.43443373455808,Intermediate,vegetables,71.75227074576247
249,10,24.89376820472392,79.42668540606991,4,0,28.553323328036235,Beginner,meat,32.188218295096945
213,9,24.553705744499307,88.89919943114687,5,0,33.10987884276726,Intermediate,vegetables,45.4967963911774
402,5,27.171524941875727,59.61005952926449,4,1,38.829685445734015,Beginner,meat,65.84575689369433
424,15,31.605404441854223,63.58130669027639,2,0,9.10132877501049,Intermediate,grains,33.79925610780536
436,13,18.85590601111936,68.67547048454063,2,0,8.28516168048323,Intermediate,meat,44.12403296360917
1380,5,13.742599198923944,47.55090546424451,1,0,6.107809272855737,Intermediate,grains,69.86224757103845
153,12,28.110566815352925,65.92849778300948,6,0,39.67012494832954,Beginner,grains,39.6657079268582
379,7,25.18266120656678,33.88121361090789,1,1,12.472363466669137,Intermediate,grains,33.99897622608657
495,14,34.78971022175685,53.71235557859821,5,0,6.923282272787812,Intermediate,grains,32.72761351567675
286,12,14.500260936818089,85.53823980152015,5,0,5.999831691151119,Intermediate,vegetables,22.55562531294854
333,13,30.89995159453024,35.06354283267254,6,0,42.675674819981815,Intermediate,dairy,45.64164987381024
104,18,25.938831611755745,50.67624506685358,5,1,26.61324164561101,Intermediate,meat,37.80635411084179
183,8,33.257972120945595,83.8604803606774,2,0,29.191308156165466,Intermediate,grains,36.35079061729738
257,10,25.433793935324356,50.00443932954663,6,0,41.37776970368103,EXPERT,meat,35.528780533407016
314,12,23.2588598432064,77.34965079532388,5,0,18.82575328314742,EXPERT,dairy,32.08983493800963
393,9,12.17948669579578,59.96590619201013,5,0,23.106787282511043,Beginner,meat,43.74184457732785
403,5,13.841450954027817,55.75095560378141,3,0,46.87891143583819,Intermediate,vegetables,52.23524727166063
388,16,21.983861003446293,80.29592157274229,5,0,48.99154821552695,Intermediate,meat,55.60326930514261
224,18,26.132245938142923,82.91953018329815,3,0,5.306661405505765,Beginner,grains,18.671551675118096
143,17,25.829740650336603,72.60812590788396,5,0,28.084070741940835,Intermediate,meat,32.83440122472783
200,10,14.26661896374996,62.81779508228329,5,0,5.073969070060236,Beginner,dairy,17.932966637160305
356,14,24.85726876404437,81.42777359137693,1,0,25.30699763329015,EXPERT,meat,42.54529404897111
491,5,23.64217221238684,61.34664872432786,0,1,19.875245103783087,Intermediate,vegetables,50.225013421673104
288,5,10.028002787002738,80.62423958440345,3,0,49.4975989125124,Intermediate,meat,53.115492559605926
444,5,13.739516066689143,40.2349146934254,4,0,32.62907553230272,Beginner,meat,43.8771704460282
287,9,15.638503561093389,71.66702736784254,4,0,9.785178380670224,Intermediate,meat,22.327731635497035
2440,13,15.630592556712244,72.8646458175959,4,0,18.92357576917,EXPERT,meat,175.50712946254723
181,14,19.336564903604334,72.50938184956783,1,0,20.26491342763027,Intermediate,vegetables,32.01379114514473
499,17,13.544359838177549,57.236810886501424,2,0,11.811702706847372,Intermediate,meat,33.49011057841999
191,12,12.35090261085666,67.03494125092354,1,0,37.35840292298653,Intermediate,dairy,43.610472526965104
351,9,14.708727094140036,61.93545186893857,6,0,48.27271131707746,Intermediate,vegetables,53.65759396965824
246,17,27.149193399574603,80.12881418293966,5,0,27.068383363348094,Beginner,dairy,44.27149612194058
199,16,26.657672145875992,82.65882117904688,0,0,12.535688503309483,Intermediate,dairy,22.02736833885948
159,18,15.770729728850302,86.42691034417035,3,0,17.033687531244844,Intermediate,dairy,24.15673617344304
134,7,26.367327035783703,31.8329674256028,0,0,17.399145521338305,Beginner,grains,28.518821448840303
100,15,11.577725826978757,36.65865147510888,5,1,18.82155416468952,Intermediate,meat,43.27533953549776
462,10,23.13587281364232,82.4233752109335,2,0,43.02368841380456,Intermediate,vegetables,62.40306270886595
197,11,11.40340258540525,76.93027578547478,2,0,35.002918843591544,Beginner,vegetables,52.83357599233442
330,17,24.272612546104103,46.13753674958826,4,0,18.381268908881253,Intermediate,meat,37.386063510937966
305,10,11.195770509852636,57.53780876263792,2,0,49.72027889201775,Intermediate,meat,49.17632379541488
471,14,23.95350623984657,36.315551111820746,3,0,17.865524019704107,Intermediate,grains,29.23523001760587
100,14,28.585594651915237,62.67034614295368,1,0,31.39303014668519,Beginner,dairy,38.50093835466662
